eta,V_s,T_top,T_bot,phi,alpha,alpha_e,V_w,V_a,L,D,M_air,Cl,Cd,Cm,iter,a_v
0.7,28,0.42493,0.42202,2.1701,2.1701,1.2712,19.8,47.792,8.4676,0.71359,0.00070929,0.13981,0.011782,0.00013461,83,7.1394
0.75,28,0.44672,0.44349,2.1071,2.1071,1.1985,21.227,49.218,8.4678,0.75543,0.00078975,0.13182,0.01176,0.00014131,81,7.572
0.8,28,0.46898,0.46541,2.0476,2.0476,1.1318,22.655,50.647,8.4679,0.79855,0.00087274,0.12449,0.01174,0.00014748,81,8.0179
0.85,28,0.49173,0.48782,1.9913,1.9913,1.0705,24.086,52.078,8.4681,0.84298,0.00095349,0.11774,0.011721,0.00015239,80,8.4772
0.9,28,0.51497,0.51076,1.9379,1.9379,1.0139,25.518,53.511,8.4682,0.8887,0.0010284,0.11153,0.011704,0.00015568,82,8.9499
0.95,28,0.53874,0.53426,1.8872,1.8872,0.9616,26.953,54.945,8.4684,0.93574,0.0010952,0.10578,0.011688,0.00015724,86,9.4361
1,28,0.56306,0.55833,1.8391,1.8391,0.9132,28.389,56.382,8.4685,0.98409,0.0011538,0.10046,0.011674,0.00015732,80,9.9359
0,29,2.5172,2.585,17.077,17.077,17.077,0,29,6.9891,4.8772,-0.016534,0.3134,0.2187,-0.0085219,4,2.6276
0.05,29,2.7086,2.6522,17.263,17.263,16.436,1.4797,30.416,6.9698,5.0193,0.013764,0.2841,0.2046,0.0064491,5,2.9031
0.1,29,2.9555,2.7141,17.351,17.351,15.758,2.9687,31.846,6.9445,5.2205,0.058903,0.25822,0.19412,0.025176,4,3.1949
0.15,29,3.0996,2.6535,17.298,17.298,15.015,4.4585,33.283,6.9902,5.2187,0.10883,0.23796,0.17765,0.042585,5,3.5012
0.2,29,2.6214,2.146,17.19,17.19,14.317,5.8799,34.661,7.2979,4.1938,0.11598,0.22908,0.13164,0.041848,7,3.807
0.25,29,0.25496,0.2484,2.7587,2.7587,2.2049,7.2856,36.279,8.4677,0.42095,0.0016009,0.24262,0.012061,0.00052722,80,4.1138
0.3,29,0.27486,0.2702,2.6526,2.6526,2.0379,8.7478,37.741,8.4676,0.45367,0.001136,0.22419,0.012011,0.0003457,83,4.4521
0.35,29,0.29498,0.29159,2.554,2.554,1.889,10.212,39.204,8.4676,0.48774,0.00082889,0.20776,0.011967,0.00023377,82,4.8041
0.4,29,0.3154,0.31272,2.4623,2.4623,1.7555,11.677,40.669,8.4676,0.52313,0.00065368,0.19306,0.011927,0.00017131,82,5.17
0.45,29,0.33614,0.33379,2.3767,2.3767,1.6355,13.144,42.136,8.4676,0.55986,0.00057264,0.17985,0.011891,0.0001398,81,5.5496
0.5,29,0.35722,0.35494,2.2967,2.2967,1.5272,14.613,43.605,8.4677,0.59793,0.00055754,0.16794,0.011859,0.0001271,80,5.9432
0.55,29,0.37869,0.37628,2.2218,2.2218,1.4292,16.083,45.075,8.4678,0.63734,0.00058726,0.15717,0.011829,0.00012529,82,6.3507
0.6,29,0.40057,0.39792,2.1515,2.1515,1.3402,17.555,46.547,8.4679,0.6781,0.00064596,0.14739,0.011803,0.00012923,80,6.7722
0.65,29,0.42289,0.41993,2.0853,2.0853,1.2592,19.028,48.021,8.4681,0.72023,0.00072178,0.13848,0.011778,0.00013567,83,7.2077
0.7,29,0.44567,0.44237,2.0231,2.0231,1.1852,20.504,49.496,8.4682,0.76372,0.00080585,0.13035,0.011756,0.00014258,82,7.6574
0.75,29,0.46894,0.46529,1.9644,1.9644,1.1174,21.981,50.974,8.4683,0.80859,0.00089151,0.1229,0.011735,0.00014872,82,8.1213
0.8,29,0.49272,0.48873,1.9089,1.9089,1.0552,23.461,52.453,8.4684,0.85484,0.00097381,0.11607,0.011717,0.00015342,83,8.5994
0.85,29,0.51704,0.51274,1.8564,1.8564,0.99804,24.942,53.935,8.4686,0.90247,0.0010491,0.10978,0.011699,0.00015632,80,9.0919
0.9,29,0.54191,0.53734,1.8066,1.8066,0.94529,26.425,55.418,8.4687,0.95151,0.0011153,0.10399,0.011684,0.00015741,81,9.5988
0.95,29,0.56736,0.56255,1.7594,1.7594,0.89656,27.91,56.904,8.4688,1.002,0.0011733,0.09863,0.011669,0.00015706,80,10.12
1,29,0.59341,0.5884,1.7146,1.7146,0.85144,29.398,58.391,8.4689,1.0538,0.0012243,0.093669,0.011656,0.00015564,81,10.656
0,30,2.609,2.5958,16.64,16.64,16.64,0,30,6.997,4.9869,0.0032152,0.29318,0.20895,0.0015485,4,2.8119
0.05,30,2.8355,2.6602,16.779,16.779,15.975,1.5302,31.468,6.9741,5.1643,0.042775,0.26559,0.19667,0.018724,5,3.1066
0.1,30,3.0705,2.6623,16.736,16.736,15.199,3.0688,32.951,6.9814,5.3046,0.099589,0.24248,0.18424,0.039758,4,3.4184
0.15,30,2.8161,2.3307,16.72,16.72,14.528,4.5744,34.406,7.1902,4.6576,0.11845,0.22905,0.14837,0.043371,6,3.7383
0.2,30,0.24459,0.23763,2.6859,2.6859,2.2367,6.026,36.02,8.4684,0.41531,0.001699,0.24613,0.012071,0.00056759,82,4.0551
0.25,30,0.2654,0.26051,2.5785,2.5785,2.0609,7.5368,37.531,8.4682,0.44889,0.0011936,0.22672,0.012018,0.00036731,81,4.4024
0.3,30,0.28642,0.28291,2.4792,2.4792,1.9047,9.0492,39.043,8.4681,0.48392,0.00085576,0.20949,0.011972,0.00024334,83,4.7643
0.35,30,0.30772,0.305,2.3869,2.3869,1.7654,10.563,40.556,8.4681,0.52036,0.00066355,0.19415,0.01193,0.00017486,81,5.141
0.4,30,0.32934,0.32699,2.3011,2.3011,1.6406,12.079,42.072,8.4681,0.55823,0.0005747,0.18041,0.011893,0.00014074,79,5.5324
0.45,30,0.35132,0.34904,2.221,2.221,1.5284,13.596,43.589,8.4682,0.59752,0.00055746,0.16807,0.011859,0.00012718,80,5.9386
0.5,30,0.37369,0.37128,2.1462,2.1462,1.4272,15.115,45.108,8.4682,0.63824,0.0005883,0.15695,0.011829,0.00012533,80,6.3597
0.55,30,0.39649,0.39383,2.0762,2.0762,1.3356,16.636,46.629,8.4683,0.6804,0.00064978,0.14688,0.011801,0.00012954,81,6.7956
0.6,30,0.41974,0.41676,2.0104,2.0104,1.2524,18.158,48.151,8.4684,0.72402,0.00072896,0.13774,0.011776,0.00013628,80,7.2466
0.65,30,0.44348,0.44014,1.9487,1.9487,1.1767,19.682,49.675,8.4686,0.76909,0.00081623,0.12942,0.011753,0.00014338,83,7.7125
0.7,30,0.46774,0.46403,1.8905,1.8905,1.1075,21.208,51.201,8.4687,0.81562,0.00090448,0.12182,0.011732,0.00014955,81,8.1936
0.75,30,0.49253,0.48848,1.8356,1.8356,1.0442,22.736,52.73,8.4688,0.86362,0.00098846,0.11486,0.011713,0.0001541,85,8.6899
0.8,30,0.51789,0.51352,1.7838,1.7838,0.98615,24.266,54.26,8.4689,0.9131,0.0010644,0.10848,0.011696,0.0001567,81,9.2014
0.85,30,0.54383,0.53919,1.7348,1.7348,0.9327,25.798,55.792,8.469,0.96407,0.0011306,0.1026,0.01168,0.00015744,83,9.7283
0.9,30,0.57038,0.56551,1.6883,1.6883,0.88342,27.332,57.326,8.4691,1.0165,0.0011884,0.097185,0.011665,0.00015675,83,10.271
0.95,30,0.59758,0.59251,1.6442,1.6442,0.83789,28.868,58.862,8.4692,1.0705,0.0012391,0.092179,0.011652,0.00015501,80,10.828
1,30,0.62545,0.62019,1.6023,1.6023,0.79573,30.407,60.401,8.4693,1.126,0.0012836,0.087544,0.011639,0.0001525,80,11.402
0,31,2.7136,2.6038,16.215,16.215,16.215,0,31,7.0026,5.1059,0.026788,0.27479,0.20036,0.012083,4,3.0025
0.05,31,2.9932,2.6524,16.225,16.225,15.447,1.5816,32.522,6.983,5.3263,0.083162,0.24898,0.18991,0.034082,5,3.3172
0.1,31,2.9295,2.4472,16.207,16.207,14.725,3.1548,34.041,7.118,4.9806,0.11767,0.23164,0.16209,0.044017,5,3.6464
0.15,31,0.23319,0.22565,2.6252,2.6252,2.2818,4.6676,35.663,8.469,0.4076,0.0018412,0.25111,0.012085,0.0006275,82,3.9748
0.2,31,0.25492,0.24966,2.516,2.516,2.0952,6.227,37.222,8.4688,0.44191,0.0012842,0.23051,0.012028,0.00040178,83,4.33
0.25,31,0.27682,0.27312,2.4153,2.4153,1.9304,7.788,38.783,8.4686,0.4778,0.00090244,0.21233,0.011979,0.00026007,83,4.7008
0.3,31,0.29899,0.29619,2.3221,2.3221,1.784,9.3507,40.345,8.4686,0.51519,0.0006835,0.1962,0.011936,0.00018202,86,5.0872
0.35,31,0.32148,0.3191,2.2356,2.2356,1.6535,10.915,41.909,8.4685,0.55408,0.00058041,0.18183,0.011897,0.00014324,79,5.4893
0.4,31,0.34433,0.34205,2.1551,2.1551,1.5365,12.481,43.475,8.4686,0.5945,0.00055685,0.16897,0.011862,0.00012771,80,5.9072
0.45,31,0.36758,0.36518,2.0801,2.0801,1.4314,14.048,45.042,8.4686,0.63644,0.00058621,0.15741,0.01183,0.00012525,81,6.3408
0.5,31,0.39127,0.38861,2.01,2.01,1.3366,15.618,46.611,8.4687,0.67992,0.00064894,0.14699,0.011802,0.00012947,80,6.7903
0.55,31,0.41543,0.41243,1.9444,1.9444,1.2508,17.189,48.182,8.4688,0.72493,0.00073068,0.13757,0.011776,0.00013643,81,7.2557
0.6,31,0.44009,0.43673,1.8828,1.8828,1.173,18.762,49.755,8.4689,0.77149,0.00082086,0.12901,0.011752,0.00014373,80,7.7371
0.65,31,0.4653,0.46156,1.825,1.825,1.102,20.336,51.33,8.469,0.8196,0.00091175,0.12121,0.011731,0.00015,81,8.2345
0.7,31,0.49107,0.48698,1.7705,1.7705,1.0373,21.913,52.907,8.4691,0.86928,0.00099771,0.1141,0.011711,0.0001545,83,8.7481
0.75,31,0.51743,0.51302,1.7191,1.7191,0.97802,23.491,54.485,8.4692,0.92052,0.0010747,0.10758,0.011693,0.00015692,87,9.2779
0.8,31,0.54441,0.53973,1.6706,1.6706,0.92362,25.072,56.066,8.4693,0.97335,0.0011415,0.1016,0.011677,0.00015741,83,9.8239
0.85,31,0.57204,0.56713,1.6247,1.6247,0.87357,26.655,57.649,8.4694,1.0278,0.0011997,0.096102,0.011662,0.00015647,80,10.386
0.9,31,0.60035,0.59523,1.5812,1.5812,0.82743,28.24,59.234,8.4695,1.0838,0.0012504,0.091029,0.011649,0.00015447,80,10.965
0.95,31,0.62937,0.62406,1.5399,1.5399,0.78479,29.827,60.821,8.4696,1.1415,0.0012948,0.08634,0.011636,0.00015172,80,11.561
1,31,0.65911,0.65364,1.5006,1.5006,0.74531,31.416,62.411,8.4697,1.2008,0.0013338,0.081999,0.011625,0.00014843,84,12.173
0,32,2.8601,2.6131,15.747,15.747,15.747,0,32,7.0021,5.2677,0.060267,0.25787,0.19399,0.025511,3,3.1993
0.05,32,2.9885,2.5278,15.7,15.7,14.948,1.6287,33.571,7.0638,5.2182,0.11241,0.23637,0.17461,0.043234,10,3.5338
0.1,32,-1.7546,2.223,2.8658,2.3697,2.1535,3.2121,35.21,7.7895,0.39599,0.0013319,0.23695,0.012046,0.0004657,81,4.2123
0.15,32,0.24334,0.23754,2.4643,2.4643,2.1418,4.8184,36.815,8.4694,0.43279,0.0014144,0.23566,0.012042,0.00045235,83,4.2354
0.2,32,0.26611,0.26212,2.3617,2.3617,1.9667,6.428,38.423,8.4691,0.46941,0.00097436,0.21633,0.01199,0.00028607,83,4.6138
0.25,32,0.28914,0.2862,2.267,2.267,1.8119,8.0393,40.034,8.469,0.50764,0.00071658,0.19927,0.011944,0.0001938,83,5.0089
0.3,32,0.31248,0.31006,2.1794,2.1794,1.6744,9.6522,41.647,8.4689,0.54747,0.00059135,0.18413,0.011903,0.00014779,84,5.4206
0.35,32,0.33618,0.3339,2.0981,2.0981,1.5518,11.267,43.261,8.4689,0.5889,0.00055646,0.17065,0.011866,0.00012888,81,5.849
0.4,32,0.36028,0.3579,2.0225,2.0225,1.442,12.883,44.877,8.469,0.63196,0.00058126,0.15858,0.011833,0.0001251,80,6.2942
0.45,32,0.38483,0.38219,1.9521,1.9521,1.3434,14.501,46.495,8.469,0.67664,0.00064348,0.14774,0.011804,0.00012902,80,6.7562
0.5,32,0.40987,0.40689,1.8863,1.8863,1.2544,16.12,48.115,8.4691,0.72296,0.00072689,0.13796,0.011777,0.0001361,83,7.2351
0.55,32,0.43543,0.43207,1.8247,1.8247,1.1739,17.742,49.736,8.4691,0.77091,0.00081972,0.12911,0.011752,0.00014364,83,7.7309
0.6,32,0.46155,0.45781,1.767,1.767,1.1008,19.365,51.359,8.4692,0.82052,0.0009134,0.12108,0.01173,0.0001501,83,8.2437
0.65,32,0.48827,0.48416,1.7127,1.7127,1.0343,20.99,52.985,8.4693,0.87177,0.0010017,0.11377,0.01171,0.00015467,82,8.7737
0.7,32,0.5156,0.51117,1.6616,1.6616,0.97351,22.618,54.612,8.4694,0.9247,0.0010804,0.10709,0.011692,0.00015702,84,9.3208
0.75,32,0.54358,0.53888,1.6134,1.6134,0.91789,24.247,56.241,8.4695,0.9793,0.0011484,0.10097,0.011675,0.00015737,82,9.8852
0.8,32,0.57225,0.56731,1.5679,1.5679,0.86685,25.878,57.873,8.4696,1.0356,0.0012072,0.095363,0.01166,0.00015624,81,10.467
0.85,32,0.60164,0.59648,1.5248,1.5248,0.81989,27.512,59.506,8.4697,1.0936,0.0012584,0.0902,0.011646,0.00015404,83,11.066
0.9,32,0.63177,0.62643,1.4839,1.4839,0.77659,29.147,61.142,8.4698,1.1533,0.0013031,0.085438,0.011634,0.00015109,85,11.683
0.95,32,0.66267,0.65717,1.4452,1.4452,0.73657,30.786,62.781,8.4699,1.2148,0.0013422,0.081038,0.011623,0.00014761,84,12.317
1,32,0.69435,0.68871,1.4084,1.4084,0.69952,32.426,64.421,8.4699,1.278,0.0013766,0.076964,0.011612,0.00014378,82,12.969
0,33,2.974,2.5723,15.237,15.237,15.237,0,33,7.0298,5.3513,0.098021,0.24343,0.18531,0.039015,4,3.4024
0.05,33,2.6802,2.1919,15.209,15.209,14.485,1.6681,34.612,7.2682,4.6099,0.11915,0.22879,0.14511,0.043112,7,3.7556
0.1,33,0.23059,0.22407,2.4228,2.4228,2.2019,3.311,36.308,8.4699,0.4216,0.0015922,0.24229,0.01206,0.00052351,82,4.1194
0.15,33,0.25425,0.24982,2.3177,2.3177,2.0144,4.9692,37.966,8.4696,0.45883,0.0010798,0.22159,0.012004,0.00032472,83,4.5043
0.2,33,0.27812,0.27497,2.221,2.221,1.8496,6.629,39.625,8.4694,0.49778,0.00076768,0.20342,0.011955,0.00021193,78,4.9067
0.25,33,0.30229,0.29979,2.1319,2.1319,1.7039,8.2905,41.286,8.4693,0.53842,0.00061032,0.18737,0.011912,0.0001552,78,5.3268
0.3,33,0.32682,0.32453,2.0494,2.0494,1.5745,9.9536,42.949,8.4693,0.58077,0.00055777,0.17315,0.011873,0.00013107,79,5.7646
0.35,33,0.35175,0.3494,1.9729,1.9729,1.4592,11.618,44.613,8.4693,0.62483,0.00057416,0.16047,0.011838,0.00012504,83,6.2202
0.4,33,0.37714,0.37454,1.9018,1.9018,1.356,13.285,46.28,8.4693,0.67061,0.00063366,0.14912,0.011807,0.00012824,83,6.6935
0.45,33,0.40302,0.40008,1.8356,1.8356,1.2632,14.953,47.948,8.4693,0.71812,0.00071769,0.13892,0.011779,0.00013531,80,7.1848
0.5,33,0.42944,0.42611,1.7737,1.7737,1.1795,16.623,49.618,8.4694,0.76736,0.00081282,0.12973,0.011754,0.00014311,5,7.694
0.55,33,0.45645,0.45272,1.7158,1.7158,1.1038,18.295,51.29,8.4695,0.81836,0.00090944,0.12141,0.011731,0.00014985,82,8.2212
0.6,33,0.48407,0.47997,1.6615,1.6615,1.0351,19.969,52.964,8.4695,0.8711,0.0010007,0.11386,0.011711,0.00015462,83,8.7665
0.65,33,0.51234,0.50791,1.6104,1.6104,0.97256,21.645,54.639,8.4696,0.92561,0.0010816,0.10698,0.011692,0.00015704,84,9.3299
0.7,33,0.54129,0.53657,1.5624,1.5624,0.91544,23.322,56.317,8.4697,0.98189,0.0011513,0.1007,0.011675,0.00015735,79,9.9117
0.75,33,0.57096,0.566,1.5171,1.5171,0.86315,25.002,57.997,8.4698,1.04,0.0012114,0.094956,0.011659,0.00015611,83,10.512
0.8,33,0.60139,0.59621,1.4743,1.4743,0.81515,26.684,59.68,8.4699,1.0998,0.0012634,0.089679,0.011645,0.00015376,81,11.13
0.85,33,0.63259,0.62723,1.4338,1.4338,0.771,28.369,61.364,8.4699,1.1615,0.0013087,0.084824,0.011632,0.00015065,80,11.767
0.9,33,0.66461,0.65908,1.3954,1.3954,0.73029,30.056,63.051,8.47,1.2251,0.0013482,0.080347,0.011621,0.000147,82,12.423
0.95,33,0.69745,0.69178,1.359,1.359,0.69266,31.745,64.74,8.4701,1.2904,0.0013828,0.076209,0.011611,0.000143,82,13.098
1,33,0.73114,0.72535,1.3244,1.3244,0.65783,33.436,66.432,8.4702,1.3577,0.0014132,0.072378,0.011601,0.0001388,82,13.791
0,34,2.8768,2.3961,14.794,14.794,14.794,0,34,7.1411,5.0982,0.11728,0.23295,0.16631,0.043976,4,3.6117
0.05,34,-1.357,1.811,2.6135,2.7127,2.5832,1.7049,35.704,9.612,0.41212,0.0032091,0.28435,0.012192,0.0010912,82,3.51
0.1,34,1.6983,-1.2416,2.0687,1.9734,1.7935,3.4116,37.409,7.3196,0.44305,0.00060007,0.19724,0.011939,0.00018586,83,5.0604
0.15,34,0.26588,0.26242,2.1837,2.1837,1.8979,5.1199,39.117,8.4699,0.48567,0.00084421,0.20875,0.01197,0.00023915,84,4.7814
0.2,34,0.29087,0.28824,2.0925,2.0925,1.7425,6.83,40.826,8.4697,0.527,0.00064163,0.19163,0.011923,0.00016686,80,5.2086
0.25,34,0.31621,0.3139,2.0084,2.0084,1.6052,8.5417,42.538,8.4696,0.57014,0.00056319,0.17652,0.011882,0.00013491,81,5.6545
0.3,34,0.34195,0.33963,1.9306,1.9306,1.4833,10.255,44.251,8.4696,0.61508,0.00056615,0.16311,0.011846,0.00012533,82,6.1192
0.35,34,0.36814,0.3656,1.8585,1.8585,1.3746,11.97,45.966,8.4696,0.66185,0.00062008,0.15117,0.011813,0.00012721,80,6.6027
0.4,34,0.39484,0.39196,1.7915,1.7915,1.2774,13.687,47.682,8.4696,0.71044,0.00070326,0.14048,0.011784,0.00013407,8,7.1052
0.45,34,0.4221,0.41882,1.7291,1.7291,1.19,15.406,49.401,8.4696,0.76087,0.00080019,0.13088,0.011757,0.00014212,81,7.6266
0.5,34,0.44995,0.44626,1.6708,1.6708,1.1112,17.126,51.121,8.4697,0.81314,0.00089984,0.12222,0.011734,0.00014925,80,8.167
0.55,34,0.47844,0.47437,1.6163,1.6163,1.0399,18.848,52.844,8.4697,0.86726,0.0009944,0.11438,0.011712,0.00015436,80,8.7265
0.6,34,0.50761,0.50319,1.5651,1.5651,0.97513,20.573,54.568,8.4698,0.92325,0.0010784,0.10727,0.011693,0.00015699,83,9.3053
0.65,34,0.53748,0.53277,1.5171,1.5171,0.91621,22.299,56.294,8.4699,0.9811,0.0011504,0.10079,0.011675,0.00015735,81,9.9034
0.7,34,0.56811,0.56314,1.4718,1.4718,0.8624,24.028,58.023,8.47,1.0409,0.0012123,0.094874,0.011659,0.00015608,78,10.521
0.75,34,0.59953,0.59435,1.4292,1.4292,0.81315,25.758,59.754,8.47,1.1025,0.0012656,0.089459,0.011644,0.00015364,8,11.158
0.8,34,0.63177,0.6264,1.3889,1.3889,0.76794,27.491,61.487,8.4701,1.1661,0.0013118,0.084488,0.011631,0.0001504,82,11.814
0.85,34,0.66486,0.65932,1.3507,1.3507,0.72635,29.226,63.222,8.4702,1.2316,0.0013519,0.079914,0.01162,0.00014661,84,12.49
0.9,34,0.69882,0.69314,1.3146,1.3146,0.688,30.964,64.96,8.4702,1.299,0.001387,0.075696,0.011609,0.00014247,83,13.186
0.95,34,0.73368,0.72786,1.2802,1.2802,0.65256,32.704,66.7,8.4703,1.3685,0.0014176,0.071799,0.0116,0.00013812,81,13.902
1,34,0.76944,0.76352,1.2476,1.2476,0.61975,34.447,68.443,8.4704,1.4399,0.0014446,0.068189,0.011591,0.00013367,80,14.638
0,35,1.8136,-1.4489,2.1325,2.0409,2.0409,0,35,7.293,0.39019,0.00098475,0.22452,0.012012,0.00034845,22,4.4455
0.05,35,1.7668,-1.3438,2.0307,1.9369,1.8445,1.7551,36.754,7.2664,0.4282,0.00065234,0.20285,0.011954,0.00020932,82,4.9203
0.1,35,0.25237,0.24845,2.1546,2.1546,1.9582,3.512,38.51,8.4703,0.47142,0.00095698,0.21539,0.011988,0.00027971,82,4.634
0.15,35,0.27818,0.27535,2.0609,2.0609,1.7912,5.2706,40.268,8.4701,0.51331,0.00069173,0.19699,0.011938,0.00018491,83,5.0669
0.2,35,0.30432,0.30196,1.9747,1.9747,1.6444,7.0309,42.027,8.4699,0.5571,0.00057643,0.18083,0.011894,0.00014146,80,5.5195
0.25,35,0.33084,0.32855,1.8953,1.8953,1.5148,8.7929,43.789,8.4698,0.6028,0.00055927,0.16657,0.011855,0.00012642,81,5.992
0.3,35,0.35782,0.35535,1.8219,1.8219,1.3997,10.557,45.552,8.4698,0.65042,0.00060371,0.15393,0.011821,0.00012611,80,6.4844
0.35,35,0.38531,0.38251,1.7538,1.7538,1.2972,12.322,47.318,8.4698,0.69997,0.00068399,0.14266,0.01179,0.00013242,83,6.9967
0.4,35,0.41336,0.41016,1.6906,1.6906,1.2054,14.089,49.085,8.4698,0.75146,0.00078187,0.13257,0.011762,0.00014067,80,7.5291
0.45,35,0.44203,0.4384,1.6317,1.6317,1.1229,15.858,50.854,8.4699,0.80489,0.0008845,0.12351,0.011737,0.00014825,8,8.0815
0.5,35,0.47135,0.46732,1.5767,1.5767,1.0486,17.629,52.625,8.4699,0.86028,0.00098286,0.11534,0.011715,0.00015384,80,8.6542
0.55,35,0.50137,0.49698,1.5252,1.5252,0.98128,19.402,54.397,8.47,0.91763,0.0010707,0.10794,0.011694,0.00015684,81,9.247
0.6,35,0.53213,0.52743,1.477,1.477,0.92021,21.177,56.172,8.47,0.97695,0.0011457,0.10123,0.011676,0.00015739,82,9.8603
0.65,35,0.56367,0.55872,1.4316,1.4316,0.86461,22.954,57.949,8.4701,1.0383,0.0012098,0.095117,0.01166,0.00015616,80,10.494
0.7,35,0.59605,0.59086,1.3889,1.3889,0.81385,24.733,59.728,8.4702,1.1016,0.0012649,0.089536,0.011645,0.00015368,78,11.148
0.75,35,0.62928,0.6239,1.3487,1.3487,0.76737,26.514,61.51,8.4702,1.1669,0.0013123,0.084425,0.011631,0.00015035,83,11.823
0.8,35,0.66339,0.65785,1.3107,1.3107,0.72472,28.298,63.294,8.4703,1.2343,0.0013535,0.079734,0.011619,0.00014644,83,12.519
0.85,35,0.69843,0.69273,1.2747,1.2747,0.68547,30.084,65.08,8.4704,1.3038,0.0013892,0.075418,0.011609,0.00014218,82,13.235
0.9,35,0.73439,0.72857,1.2405,1.2405,0.64928,31.872,66.868,8.4704,1.3753,0.0014204,0.071438,0.011599,0.0001377,81,13.972
0.95,35,0.77132,0.76539,1.2082,1.2082,0.61584,33.663,68.66,8.4705,1.4489,0.0014478,0.06776,0.01159,0.00013312,81,14.731
1,35,0.80922,0.80318,1.1774,1.1774,0.58487,35.457,70.454,8.4706,1.5245,0.0014718,0.064353,0.011582,0.00012852,83,15.511
0,36,0.9421,-0.53467,2.2925,2.1856,2.1856,0,36,8.2647,0.4143,0.0015055,0.24049,0.012055,0.00050354,80,4.1503
0.05,36,-1.8435,2.3546,2.4382,1.9101,1.8189,1.8062,37.805,7.5814,0.45276,0.00064946,0.20004,0.011946,0.00019697,83,4.9896
0.1,36,-1.7621,2.3231,2.3328,1.8239,1.6575,3.614,39.612,7.5845,0.49508,0.00052158,0.18228,0.011898,0.00014408,82,5.4758
0.15,36,0.29111,0.28864,1.9481,1.9481,1.6932,5.4214,41.419,8.4703,0.54174,0.00060301,0.1862,0.011909,0.00015236,83,5.3605
0.2,36,0.31841,0.31613,1.8666,1.8666,1.5544,7.2319,43.229,8.4701,0.58806,0.00055657,0.17093,0.011867,0.0001291,83,5.8394
0.25,36,0.34615,0.34375,1.7914,1.7914,1.4318,9.0441,45.041,8.4701,0.63641,0.00058615,0.15745,0.01183,0.00012524,81,6.3393
0.3,36,0.3744,0.37169,1.722,1.722,1.323,10.858,46.854,8.47,0.68678,0.00066058,0.1455,0.011797,0.00013043,80,6.8602
0.35,36,0.40321,0.40011,1.6577,1.6577,1.2261,12.674,48.67,8.47,0.7392,0.00075805,0.13484,0.011768,0.00013872,83,7.4022
0.4,36,0.43266,0.42912,1.5979,1.5979,1.1393,14.491,50.487,8.4701,0.79367,0.00086334,0.12531,0.011742,0.00014681,7,7.9653
0.45,36,0.46277,0.45881,1.5422,1.5422,1.0614,16.311,52.307,8.4701,0.8502,0.00096583,0.11675,0.011718,0.00015301,81,8.5497
0.5,36,0.49361,0.48927,1.4903,1.4903,0.9911,18.132,54.128,8.4701,0.90879,0.0010582,0.10902,0.011697,0.00015655,8,9.1555
0.55,36,0.52521,0.52055,1.4416,1.4416,0.92752,19.955,55.951,8.4702,0.96946,0.001137,0.10203,0.011678,0.00015743,83,9.7826
0.6,36,0.55762,0.55269,1.396,1.396,0.8698,21.781,57.777,8.4703,1.0322,0.001204,0.095688,0.011661,0.00015634,82,10.431
0.65,36,0.5909,0.58573,1.3532,1.3532,0.81726,23.608,59.604,8.4703,1.0971,0.0012613,0.089911,0.011646,0.00015389,84,11.102
0.7,36,0.62507,0.6197,1.3129,1.3129,0.76928,25.438,61.434,8.4704,1.1641,0.0013105,0.084635,0.011632,0.00015051,78,11.794
0.75,36,0.66017,0.65462,1.2748,1.2748,0.72536,27.27,63.266,8.4704,1.2333,0.0013529,0.079805,0.01162,0.00014651,83,12.508
0.8,36,0.69622,0.69053,1.2389,1.2389,0.68504,29.105,65.101,8.4705,1.3046,0.0013896,0.075371,0.011608,0.00014212,82,13.243
0.85,36,0.73326,0.72743,1.2048,1.2048,0.64795,30.941,66.938,8.4705,1.3781,0.0014216,0.071291,0.011599,0.00013752,84,14.001
0.9,36,0.7713,0.76536,1.1726,1.1726,0.61374,32.781,68.777,8.4706,1.4538,0.0014494,0.067529,0.01159,0.00013282,80,14.781
0.95,36,0.81036,0.80432,1.142,1.142,0.58213,34.623,70.62,8.4707,1.5317,0.0014739,0.064052,0.011582,0.0001281,83,15.584
1,36,0.85045,0.84432,1.1129,1.1129,0.55286,36.468,72.465,8.4707,1.6117,0.0014953,0.060832,0.011575,0.00012343,81,16.409
0,37,-0.52896,0.97416,2.0671,2.1769,2.1769,0,37,8.6954,0.43754,0.0015573,0.23953,0.012053,0.00049308,79,4.167
0.05,37,0.14321,0.35186,2.0127,2.0282,1.9313,1.8556,38.855,8.504,0.47958,0.00090788,0.21243,0.01198,0.00026067,84,4.6986
0.1,37,-1.7587,2.3449,2.2255,1.7146,1.5582,3.7144,40.713,7.5315,0.52166,0.00049498,0.17135,0.011868,0.00012944,84,5.8251
0.15,37,0.30463,0.30233,1.8443,1.8443,1.6029,5.5721,42.57,8.4704,0.57096,0.0005627,0.17627,0.011882,0.00013459,80,5.6625
0.2,37,0.33311,0.33078,1.767,1.767,1.4715,7.4328,44.43,8.4703,0.61989,0.00056985,0.16181,0.011842,0.00012513,80,6.1684
0.25,37,0.3621,0.3595,1.6959,1.6959,1.3554,9.2953,46.292,8.4702,0.67096,0.00063417,0.14906,0.011807,0.00012827,83,6.6964
